run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,repair_attempted,repair_success,repair_trigger_reason,previous_raw_len,previous_action_id,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,timeout_policy_version,action_timeout_sec_used,timeout_reason,a6_parse_success,a6_n_facts,a6_n_rules,a6_n_derived,a6_rule_fired,a6_pattern,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v5_cot150_20260222_162608,2026-02-22T16:27:59.021056,WP_000001,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),2,Primary route for WP,llm_cot,repair,0,0,1,0,timeout,0,A2,,,0,2,0,110839.085,1,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E7,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:29:48.719619,WP_000002,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,repair,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),1,Primary route for WP,repair,repair,0,0,1,1,timeout,0,A2,Jean pays $6300.,6300,1,27000,0,109697.526,0,v5.0_a6_logic_wp150_cot,20,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E5,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:31:40.904886,WP_000003,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),2,Primary route for WP,llm_cot,repair,0,0,1,0,timeout,0,A2,,,0,18,0,112184.569,1,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E7,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:33:27.253921,WP_000004,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,repair,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),1,Primary route for WP,repair,repair,0,0,1,1,timeout,0,A2,15 miles,15,1,60,0,106348.348,0,v5.0_a6_logic_wp150_cot,20,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E5,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:35:17.771705,WP_000005,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),2,Primary route for WP,llm_cot,repair,0,0,1,0,timeout,0,A2,,,0,1800,0,110517.168,1,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E7,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:37:11.621186,WP_000006,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),2,Primary route for WP,llm_cot,repair,0,0,1,0,timeout,0,A2,,,0,1198,0,113848.716,1,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E7,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:39:00.623179,WP_000007,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to parse_failure),2,Primary route for WP,llm_cot,repair,0,0,1,0,parse_failure,324,A2,"Step 1: Determine how much money Sophia gave to Jack.\nSophia gave Jack 1/5 of her $100, so we calculate 1/5 * $100 = $20.\n\nStep 2: Add the amount Sophia gave to Jack to Jack's original amount.\nJack originally had $100, and Sophia gave him $20, so we add these amounts together: $100 + $20 = $120.\n\nAnswer: Jack now has $120.",,0,120,0,109000.043,0,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E8,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:40:51.353826,WP_000008,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),2,Primary route for WP,llm_cot,repair,0,0,1,0,timeout,0,A2,,,0,50,0,110729.976,1,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E7,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:42:45.100093,WP_000009,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,llm_cot,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),2,Primary route for WP,llm_cot,repair,0,0,1,0,timeout,0,A2,,,0,10,0,113745.463,1,v5.0_a6_logic_wp150_cot,100,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E7,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
hybrid_v5_cot150_20260222_162608,2026-02-22T16:44:32.887903,WP_000010,gsm8k,WP,industry_tier1_40_v2,hybrid_v5_cot150,1,PT3_phi_chat,P3_numeric_context,repair,A2(Primary route for WP) -> A3(Fallback from A2 due to timeout),1,Primary route for WP,repair,repair,0,0,1,1,timeout,0,A2,The trip took 7 hours.,7,1,6,0,107787.175,0,v5.0_a6_logic_wp150_cot,20,action_cap,,,,,,,563.00,2100.00,1537.00,153.70,E5,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v5.0
