run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,prompt_template_version,parser_version,route_chosen,route_attempt_sequence,escalations_count,decision_reason,final_answer_source,reasoning_mode,symbolic_parse_success,sympy_solve_success,repair_attempted,repair_success,repair_trigger_reason,previous_raw_len,previous_action_id,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,timeout_policy_version,action_timeout_sec_used,timeout_reason,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version,router_version
hybrid_v3_20260222_132822,2026-02-22T13:28:22.782513,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,4.035,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:22.884048,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.901,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:22.985389,AR_000001,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: 4 - (5 - (3 + 2)) = 4],4,1,4,1,0.844,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:22.986896,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.179,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.088576,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.212,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.190508,AR_000002,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -2 + -1 + (10 + -7 - -4) = 4],4,1,4,1,1.406,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.191906,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.901,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.293295,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,0.882,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.394864,AR_000003,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -7.5 - -2320.5 = 2313],2313,1,2313,1,1.046,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.396095,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.800,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.497422,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.829,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.598738,AR_000004,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,3,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: -1*-201 = 201],201,1,201,1,0.784,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.600248,AR_000005,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,1,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: ((-2)/(-3) + -1)/((-2)/6) = 1],1,1,1,1,1.159,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
hybrid_v3_20260222_132822,2026-02-22T13:28:23.702011,AR_000005,deepmind_math,AR,industry_tier1_40_v2,hybrid_v3,2,PT3_phi_chat,P3_numeric_context,symbolic,A5(Primary route for AR),0,Primary route for AR,symbolic,symbolic,1,0,0,0,,0,,[A5 symbolic: ((-2)/(-3) + -1)/((-2)/6) = 1],1,1,1,1,1.255,0,v3_cost_cap_1,,,220.00,2381.00,2161.00,54.02,E0,Phi-4-Mini,Q6_K,0.0,1.0,1,42,20,v1.0,v3.0
