run_id,timestamp,prompt_id,dataset,category,split,system,repeat_idx,action_id,grammar_enabled,grammar_version,max_tokens_budget,prompt_template_version,parser_version,answer_raw,answer_parsed,parse_success,ground_truth,correct,total_latency_ms,timeout_flag,energy_start_mwh,energy_end_mwh,energy_delta_mwh,energy_per_prompt_mwh,error_code,e7_http_status,e7_exception_type,e7_tokens_predicted,e7_stop_type,e7_prompt_len_chars,e7_raw_preview,model_name,quantization,temperature,top_p,top_k,seed,timeout_sec,config_version
v1_a2_nogrammar_20260221_182111,2026-02-21T18:21:17.077912,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,6033.373,0,7783.00,9339.00,1556.00,38.90,E1,200,,2,stop,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:21:18.848357,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,1669.764,0,7783.00,9339.00,1556.00,38.90,E1,200,,2,stop,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:21:20.596247,AR_000001,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,1,1,1,4,0,1647.326,0,7783.00,9339.00,1556.00,38.90,E1,200,,2,stop,150,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:21:33.504154,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,12906.766,0,7783.00,9339.00,1556.00,38.90,E1,200,,7,stop,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:21:39.411392,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,5806.525,0,7783.00,9339.00,1556.00,38.90,E1,200,,7,stop,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:21:45.330458,AR_000002,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,The value is 10.,10,1,4,0,5817.681,0,7783.00,9339.00,1556.00,38.90,E1,200,,7,stop,168,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:03.199054,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = 2313.0,2313,1,2313,1,17867.954,0,7783.00,9339.00,1556.00,38.90,E0,200,,17,stop,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:17.241079,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = 2313.0,2313,1,2313,1,13941.453,0,7783.00,9339.00,1556.00,38.90,E0,200,,17,stop,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:31.321042,AR_000003,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-7.5 + 2320.5 = 2313.0,2313,1,2313,1,13979.317,0,7783.00,9339.00,1556.00,38.90,E0,200,,17,stop,147,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:34.518631,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,3197.133,0,7783.00,9339.00,1556.00,38.90,E0,200,,2,stop,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:36.259507,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,1640.363,0,7783.00,9339.00,1556.00,38.90,E0,200,,2,stop,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:38.063767,AR_000004,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,201,201,1,201,1,1703.734,0,7783.00,9339.00,1556.00,38.90,E0,200,,2,stop,140,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:22:53.655144,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,15590.889,0,7783.00,9339.00,1556.00,38.90,E1,200,,12,stop,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:03.647514,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,9891.803,0,7783.00,9339.00,1556.00,38.90,E1,200,,12,stop,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:13.652381,AR_000005,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,(-2)/(-3) = 2/3,0.6666666666666666,1,1,0,9904.306,0,7783.00,9339.00,1556.00,38.90,E1,200,,12,stop,158,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:21.987608,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8334.769,0,7783.00,9339.00,1556.00,38.90,E1,200,,10,stop,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:30.338094,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8249.932,0,7783.00,9339.00,1556.00,38.90,E1,200,,10,stop,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:38.712200,AR_000006,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-0.3333333333333333,-0.3333333333333333,1,-5,0,8273.578,0,7783.00,9339.00,1556.00,38.90,E1,200,,10,stop,146,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:46.622001,AR_000007,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-10,-10,1,4,0,7909.345,0,7783.00,9339.00,1556.00,38.90,E1,200,,3,stop,144,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:49.250471,AR_000007,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-10,-10,1,4,0,2527.960,0,7783.00,9339.00,1556.00,38.90,E1,200,,3,stop,144,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:23:51.815332,AR_000007,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,-10,-10,1,4,0,2464.345,0,7783.00,9339.00,1556.00,38.90,E1,200,,3,stop,144,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:24:22.879985,AR_000008,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,The value is -8 - (-3 + 0) - -3 = -8 - (-3) - (-3) = -8 +,-8,1,-2,0,31064.139,0,7783.00,9339.00,1556.00,38.90,E1,200,,30,length,162,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:24:47.528172,AR_000008,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,2,A2,0,none,30,PT3_phi_chat,P3_numeric_context,The value is -8 - (-3 + 0) - -3 = -8 - (-3) - (-3) = -8 +,-8,1,-2,0,24547.235,0,7783.00,9339.00,1556.00,38.90,E1,200,,30,length,162,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:25:12.256200,AR_000008,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,3,A2,0,none,30,PT3_phi_chat,P3_numeric_context,The value is -8 - (-3 + 0) - -3 = -8 - (-3) - (-3) = -8 +,-8,1,-2,0,24627.445,0,7783.00,9339.00,1556.00,38.90,E1,200,,30,length,162,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
v1_a2_nogrammar_20260221_182111,2026-02-21T18:25:16.507938,AR_000009,deepmind_math,AR,industry_tier1_40_v2,v1_a2_nogrammar,1,A2,0,none,30,PT3_phi_chat,P3_numeric_context,5,5,1,5,1,4251.285,0,7783.00,9339.00,1556.00,38.90,E0,200,,2,stop,149,,Phi-4-Mini,Q6_K,0.0,1.0,1,42,60,v1.0
