id,category,prompt,expected_answer
ALG001,ALG,"Solve for x.
Answer with only the final number.

x = 28 * 35
",980
ALG002,ALG,"Solve for x.
Answer with only the final number.

x - 38 = 61
",99
ALG003,ALG,"Solve for x.
Answer with only the final number.

x = 46 + 23
",69
ALG004,ALG,"Solve for x.
Answer with only the final number.

x - 47 = 83
",130
ALG005,ALG,"Solve for x.
Answer with only the final number.

x = 39 + 7
",46
ALG006,ALG,"Solve for x.
Answer with only the final number.

x - 27 = 33
",60
ALG007,ALG,"Solve for x.
Answer with only the final number.

x = 39 - 30
",9
ALG008,ALG,"Solve for x.
Answer with only the final number.

x + 43 = 48
",5
ALG009,ALG,"Solve for x.
Answer with only the final number.

x = 49 - 47
",2
ALG010,ALG,"Solve for x.
Answer with only the final number.

x + 14 = 82
",68
ALG011,ALG,"Solve for x.
Answer with only the final number.

x = 26 * 2
",52
ALG012,ALG,"Solve for x.
Answer with only the final number.

x + 2 = 69
",67
ALG013,ALG,"Solve for x.
Answer with only the final number.

x = 25 + 10
",35
ALG014,ALG,"Solve for x.
Answer with only the final number.

x + 25 = 70
",45
ALG015,ALG,"Solve for x.
Answer with only the final number.

x = 49 - 17
",32
ALG016,ALG,"Solve for x.
Answer with only the final number.

x - 14 = 100
",114
ALG017,ALG,"Solve for x.
Answer with only the final number.

x = 25 + 25
",50
ALG018,ALG,"Solve for x.
Answer with only the final number.

x - 34 = 93
",127
ALG019,ALG,"Solve for x.
Answer with only the final number.

x = 31 * 47
",1457
ALG020,ALG,"Solve for x.
Answer with only the final number.

x - 20 = 51
",71
ALG021,ALG,"Solve for x.
Answer with only the final number.

x = 30 + 30
",60
ALG022,ALG,"Solve for x.
Answer with only the final number.

x + 50 = 75
",25
ALG023,ALG,"Solve for x.
Answer with only the final number.

x = 27 - 20
",7
ALG024,ALG,"Solve for x.
Answer with only the final number.

x + 42 = 3
",-39
ALG025,ALG,"Solve for x.
Answer with only the final number.

x = 29 + 50
",79
ALG026,ALG,"Solve for x.
Answer with only the final number.

x + 9 = 42
",33
ALG027,ALG,"Solve for x.
Answer with only the final number.

x = 22 - 12
",10
ALG028,ALG,"Solve for x.
Answer with only the final number.

x + 49 = 2
",-47
ALG029,ALG,"Solve for x.
Answer with only the final number.

x = 7 * 7
",49
ALG030,ALG,"Solve for x.
Answer with only the final number.

x + 39 = 8
",-31
ALG031,ALG,"Solve for x.
Answer with only the final number.

x = 48 - 25
",23
ALG032,ALG,"Solve for x.
Answer with only the final number.

x - 42 = 1
",43
ALG033,ALG,"Solve for x.
Answer with only the final number.

x = 25 * 1
",25
ALG034,ALG,"Solve for x.
Answer with only the final number.

x - 52 = 281
",333
ALG035,ALG,"Solve for x.
Answer with only the final number.

x = 29 * 97
",2813
ALG036,ALG,"Solve for x.
Answer with only the final number.

x - 177 = 185
",362
ALG037,ALG,"Solve for x.
Answer with only the final number.

x = 185 - 27
",158
ALG038,ALG,"Solve for x.
Answer with only the final number.

x + 176 = 105
",-71
ALG039,ALG,"Solve for x.
Answer with only the final number.

x = 98 + 28
",126
ALG040,ALG,"Solve for x.
Answer with only the final number.

x - 134 = 38
",172
ALG041,ALG,"Solve for x.
Answer with only the final number.

x = 35 * 35
",1225
ALG042,ALG,"Solve for x.
Answer with only the final number.

x - 188 = 246
",434
ALG043,ALG,"Solve for x.
Answer with only the final number.

x = 103 + 186
",289
ALG044,ALG,"Solve for x.
Answer with only the final number.

x - 199 = 283
",482
ALG045,ALG,"Solve for x.
Answer with only the final number.

x = 175 + 199
",374
ALG046,ALG,"Solve for x.
Answer with only the final number.

x - 52 = 222
",274
ALG047,ALG,"Solve for x.
Answer with only the final number.

x = 35 + 129
",164
ALG048,ALG,"Solve for x.
Answer with only the final number.

x + 32 = 82
",50
