id,category,prompt,expected_answer
ALG001,ALG,"Solve for x.
Answer with only the final number.

x = 28 * 35
",980
ALG002,ALG,"Solve for x.
Answer with only the final number.

x - 38 = 61
",99
ALG003,ALG,"Solve for x.
Answer with only the final number.

x = 46 + 23
",69
ALG004,ALG,"Solve for x.
Answer with only the final number.

x - 47 = 83
",130
ALG005,ALG,"Solve for x.
Answer with only the final number.

x = 39 + 7
",46
ALG006,ALG,"Solve for x.
Answer with only the final number.

x - 27 = 33
",60
ALG007,ALG,"Solve for x.
Answer with only the final number.

x = 39 - 30
",9
ALG008,ALG,"Solve for x.
Answer with only the final number.

x + 43 = 48
",5
ALG009,ALG,"Solve for x.
Answer with only the final number.

x = 49 - 47
",2
ALG010,ALG,"Solve for x.
Answer with only the final number.

x + 14 = 82
",68
ALG011,ALG,"Solve for x.
Answer with only the final number.

x = 26 * 2
",52
ALG012,ALG,"Solve for x.
Answer with only the final number.

x + 2 = 69
",67
ALG013,ALG,"Solve for x.
Answer with only the final number.

x = 25 + 10
",35
ALG014,ALG,"Solve for x.
Answer with only the final number.

x + 25 = 70
",45
ALG015,ALG,"Solve for x.
Answer with only the final number.

x = 49 - 17
",32
ALG016,ALG,"Solve for x.
Answer with only the final number.

x - 14 = 100
",114
ALG017,ALG,"Solve for x.
Answer with only the final number.

x = 25 + 25
",50
ALG018,ALG,"Solve for x.
Answer with only the final number.

x - 34 = 93
",127
ALG019,ALG,"Solve for x.
Answer with only the final number.

x = 31 * 47
",1457
ALG020,ALG,"Solve for x.
Answer with only the final number.

x - 20 = 51
",71
ALG021,ALG,"Solve for x.
Answer with only the final number.

x = 30 + 30
",60
ALG022,ALG,"Solve for x.
Answer with only the final number.

x + 50 = 75
",25
ALG023,ALG,"Solve for x.
Answer with only the final number.

x = 27 - 20
",7
ALG024,ALG,"Solve for x.
Answer with only the final number.

x + 42 = 3
",-39
ALG025,ALG,"Solve for x.
Answer with only the final number.

x = 29 + 50
",79
ALG026,ALG,"Solve for x.
Answer with only the final number.

x + 9 = 42
",33
ALG027,ALG,"Solve for x.
Answer with only the final number.

x = 22 - 12
",10
ALG028,ALG,"Solve for x.
Answer with only the final number.

x + 49 = 2
",-47
ALG029,ALG,"Solve for x.
Answer with only the final number.

x = 7 * 7
",49
ALG030,ALG,"Solve for x.
Answer with only the final number.

x + 39 = 8
",-31
ALG031,ALG,"Solve for x.
Answer with only the final number.

x = 48 - 25
",23
ALG032,ALG,"Solve for x.
Answer with only the final number.

x - 42 = 1
",43
ALG033,ALG,"Solve for x.
Answer with only the final number.

x = 25 * 1
",25
ALG034,ALG,"Solve for x.
Answer with only the final number.

x - 11 = 68
",79
ALG035,ALG,"Solve for x.
Answer with only the final number.

x = 5 * 22
",110
ALG036,ALG,"Solve for x.
Answer with only the final number.

x - 42 = 94
",136
ALG037,ALG,"Solve for x.
Answer with only the final number.

x = 29 - 5
",24
ALG038,ALG,"Solve for x.
Answer with only the final number.

x + 44 = 84
",40
ALG039,ALG,"Solve for x.
Answer with only the final number.

x = 12 * 2
",24
ALG040,ALG,"Solve for x.
Answer with only the final number.

x - 23 = 10
",33
ALG041,ALG,"Solve for x.
Answer with only the final number.

x = 49 + 35
",84
ALG042,ALG,"Solve for x.
Answer with only the final number.

x + 27 = 96
",69
ALG043,ALG,"Solve for x.
Answer with only the final number.

x = 45 + 49
",94
ALG044,ALG,"Solve for x.
Answer with only the final number.

x - 30 = 65
",95
ALG045,ALG,"Solve for x.
Answer with only the final number.

x = 24 + 45
",69
ALG046,ALG,"Solve for x.
Answer with only the final number.

x - 48 = 75
",123
ALG047,ALG,"Solve for x.
Answer with only the final number.

x = 42 + 49
",91
ALG048,ALG,"Solve for x.
Answer with only the final number.

x - 48 = 22
",70
