prompt_id,category,dataset_name,dataset_source,dataset_version,source_split,source_record_id,source_type,field_map_version,prompt_text,ground_truth,source_answer_raw,source_module,source_meta_json
AR_000101,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__add_sub_multiple_easy_9411,dataset_raw,fm_v1.0,Calculate -1 - -6 - (-14 + 26).,-7,-7,arithmetic__add_sub_multiple,"{""pair_idx"": 9411, ""module"": ""arithmetic__add_sub_multiple"", ""difficulty"": ""train-easy""}"
AR_000102,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__add_sub_multiple_easy_566930,dataset_raw,fm_v1.0,What is (-18 - -11) + (2 - -5)?,0,0,arithmetic__add_sub_multiple,"{""pair_idx"": 566930, ""module"": ""arithmetic__add_sub_multiple"", ""difficulty"": ""train-easy""}"
AR_000103,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__mul_easy_209024,dataset_raw,fm_v1.0,Multiply 4857 and -3.,-14571,-14571,arithmetic__mul,"{""pair_idx"": 209024, ""module"": ""arithmetic__mul"", ""difficulty"": ""train-easy""}"
AR_000104,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__add_or_sub_easy_31620,dataset_raw,fm_v1.0,What is 210 - 126?,84,84,arithmetic__add_or_sub,"{""pair_idx"": 31620, ""module"": ""arithmetic__add_or_sub"", ""difficulty"": ""train-easy""}"
AR_000105,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__add_sub_multiple_easy_185126,dataset_raw,fm_v1.0,Evaluate (-15 + 15 - (2 - 2)) + -1.,-1,-1,arithmetic__add_sub_multiple,"{""pair_idx"": 185126, ""module"": ""arithmetic__add_sub_multiple"", ""difficulty"": ""train-easy""}"
AR_000106,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__add_sub_multiple_easy_537542,dataset_raw,fm_v1.0,What is (5 - 5 - -1 - -3) + -14?,-10,-10,arithmetic__add_sub_multiple,"{""pair_idx"": 537542, ""module"": ""arithmetic__add_sub_multiple"", ""difficulty"": ""train-easy""}"
AR_000107,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__mixed_easy_211967,dataset_raw,fm_v1.0,What is the value of 10/20*(-2 - 20/(-2))?,4,4,arithmetic__mixed,"{""pair_idx"": 211967, ""module"": ""arithmetic__mixed"", ""difficulty"": ""train-easy""}"
AR_000108,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__add_sub_multiple_easy_165642,dataset_raw,fm_v1.0,Evaluate -1 - (-3 - -3) - (0 - 5).,4,4,arithmetic__add_sub_multiple,"{""pair_idx"": 165642, ""module"": ""arithmetic__add_sub_multiple"", ""difficulty"": ""train-easy""}"
AR_000109,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__mixed_easy_202465,dataset_raw,fm_v1.0,Evaluate (-9)/3 + 6 + (-2 - -2).,3,3,arithmetic__mixed,"{""pair_idx"": 202465, ""module"": ""arithmetic__mixed"", ""difficulty"": ""train-easy""}"
AR_000110,AR,deepmind_math,https://storage.googleapis.com/mathematics-dataset/mathematics_dataset-v1.0.tar.gz,v1.0,train-easy,arithmetic__mixed_easy_624298,dataset_raw,fm_v1.0,What is ((-6)/(-14))/(41/861)?,9,9,arithmetic__mixed,"{""pair_idx"": 624298, ""module"": ""arithmetic__mixed"", ""difficulty"": ""train-easy""}"
